"Name","Team","G","PA","H","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","Fld","BsR","WAR","playerid"
"Ferris Fain","- - -","1151","4904","1139","48","595","570","46","18.4 %","5.3 %",".106",".301",".290",".424",".396",".390","127","11.0","","31.6","1003902"
"Benito Santiago","- - -","1955","7516","1830","217","755","920","91","5.7 %","16.9 %",".152",".291",".263",".307",".415",".313","89","24.0","-1.4","31.4","1130"
"Carlos Lee","- - -","1952","8172","2128","349","1072","1286","122","7.3 %","11.4 %",".205",".285",".286",".339",".491",".355","114","-11.7","-24.3","31.4","243"
"Billy Werber","- - -","1295","5845","1363","78","875","539","215","12.0 %","6.2 %",".120",".280",".271",".364",".392",".357","101","34.0","","31.4","1013783"
"Bill Doran","- - -","1443","5922","1366","84","727","497","209","12.0 %","10.1 %",".107",".286",".266",".354",".373",".330","110","-8.0","","31.4","1003406"
"Billy Jurges","- - -","1816","7013","1613","43","721","656","36","8.1 %","7.6 %",".077",".276",".258",".325",".335",".314","83","113.0","","31.4","1006653"
"Roy Smalley","- - -","1650","6595","1454","163","745","694","27","11.7 %","13.8 %",".138",".278",".257",".345",".395",".332","103","-8.0","","31.2","1012078"
"Don Mincher","- - -","1400","4725","1003","200","530","643","24","12.8 %","14.1 %",".201",".251",".249",".348",".450",".352","124","29.0","","31.2","1008973"
"Tom Tresh","- - -","1192","4895","1041","153","595","530","45","11.2 %","14.3 %",".166",".259",".245",".335",".411",".335","114","1.0","","31.2","1013179"
"Marquis Grissom","- - -","2149","8959","2251","227","1187","967","429","6.2 %","13.8 %",".142",".295",".272",".318",".415",".326","97","-4.9","5.5","31.2","652"
"Willie Jones","- - -","1691","6714","1502","190","786","812","40","11.2 %","8.1 %",".152",".256",".258",".343",".410",".344","103","-22.0","","31.2","1006601"
"Bill Bruton","- - -","1610","6668","1651","94","937","545","207","7.2 %","11.9 %",".120",".300",".273",".328",".393",".324","98","38.0","","31.1","1001600"
"Terry Steinbach","- - -","1525","5905","1453","162","638","745","23","7.1 %","15.9 %",".149",".299",".271",".326",".420",".328","100","13.0","","31.1","1012473"
"Hanley Ramirez","- - -","852","3757","1016","134","617","434","216","9.8 %","16.2 %",".200",".339",".306",".380",".506",".385","134","-44.1","14.5","31.1","8001"
"Kevin Mitchell","- - -","1216","4696","1173","234","630","760","30","10.5 %","15.3 %",".236",".291",".284",".360",".520",".378","139","-44.0","","31.1","1009004"
"George Hendrick","- - -","2021","7833","1980","267","941","1111","59","7.2 %","12.9 %",".168",".289",".278",".329",".446",".342","114","-58.0","","31.0","1005642"
"Richie Zisk","- - -","1453","5737","1477","207","681","792","8","9.3 %","15.9 %",".178",".312",".287",".353",".466",".364","126","-8.0","","31.0","1014455"
"Rick Dempsey","- - -","1672","5407","1093","96","525","471","20","10.9 %","13.6 %",".114",".256",".233",".319",".347",".305","90","73.0","","30.7","1003203"
"Tommie Agee","- - -","1129","4324","999","130","558","433","167","7.9 %","21.2 %",".157",".302",".255",".320",".412",".331","111","64.0","","30.7","1000080"
"Fred Merkle","- - -","1638","6426","1580","61","720","733","272","7.1 %","9.6 %",".110",".302",".273",".331",".383",".347","111","-9.0","","30.7","1008783"
"Michael Young","Rangers","1664","7396","2061","169","1006","917","87","6.7 %","14.6 %",".147",".338",".304",".350",".451",".348","107","-78.4","20.5","30.7","1286"
"Woody English","- - -","1261","5469","1356","32","801","422","57","10.4 %","9.8 %",".092",".317",".286",".366",".378",".351","99","46.0","","30.7","1003785"
"Curtis Granderson","- - -","966","4115","970","167","647","485","104","10.0 %","21.9 %",".225",".311",".267",".345",".493",".363","121","19.8","18.1","30.7","4747"
"Hank Sauer","- - -","1399","5414","1278","288","709","876","11","10.4 %","13.2 %",".230",".260",".266",".347",".496",".380","121","-15.0","","30.6","1011459"
"Lloyd Moseby","- - -","1579","6574","1494","169","869","737","280","9.4 %","17.3 %",".157",".291",".257",".332",".414",".336","106","8.0","","30.6","1009238"
"Ezra Sutton","- - -","1263","5536","1574","25","992","671","69","3.1 %","3.3 %",".093",".301",".294",".316",".386",".320","113","-3.0","","30.5","1012746"
"Amos Strunk","- - -","1512","5803","1418","15","696","530","185","9.9 %","6.7 %",".090",".308",".284",".359",".374",".350","111","15.0","","30.5","1012634"
"Phil Garner","- - -","1833","6861","1594","109","780","738","225","8.2 %","12.3 %",".129",".283",".260",".323",".389",".318","99","15.0","","30.4","1004541"
"John Mayberry","- - -","1614","6447","1379","255","733","879","20","13.7 %","12.6 %",".186",".253",".253",".360",".439",".359","123","-24.0","","30.4","1008289"
"Kevin Seitzer","- - -","1433","6062","1557","74","739","613","80","11.0 %","10.2 %",".109",".320",".295",".375",".404",".350","113","-17.0","","30.4","1011730"
"Snuffy Stirnweiss","- - -","1027","4292","989","29","604","281","134","12.6 %","10.4 %",".103",".298",".268",".362",".371",".352","109","58.0","","30.3","1012546"
"Grady Sizemore","Indians","892","4047","948","139","601","458","134","10.6 %","20.2 %",".204",".312",".269",".357",".473",".361","121","22.6","20.8","30.2","2197"
"Ryan Zimmerman","Nationals","845","3669","947","128","487","498","25","9.2 %","16.8 %",".191",".319",".288",".355",".479",".358","119","52.3","10.6","30.2","4220"
"Jack Tobin","- - -","1619","6872","1906","64","936","581","147","7.4 %","3.9 %",".111",".315",".309",".364",".420",".369","107","-27.0","","30.1","1013088"
"Ben Oglivie","- - -","1740","6598","1615","235","784","901","87","8.5 %","12.9 %",".177",".282",".273",".336",".450",".344","115","3.0","","30.0","1009746"
"John Anderson","- - -","1635","6768","1841","49","870","976","338","4.6 %","5.8 %",".114",".311",".290",".329",".404",".349","111","2.0","","30.0","1000232"
"Ross Barnes","- - -","499","2506","859","6","698","350","73","4.5 %","2.6 %",".105",".368",".359",".388",".464",".389","149","57.0","","30.0","1000573"
"Al Smith","- - -","1517","6172","1458","164","843","676","67","10.9 %","12.4 %",".157",".290",".272",".358",".429",".353","116","-40.0","","30.0","1012090"
"Von Hayes","- - -","1484","6052","1402","143","767","696","253","11.8 %","13.3 %",".149",".289",".267",".354",".416",".345","114","25.0","","30.0","1005531"
"Butch Wynegar","- - -","1279","5067","1102","65","498","506","10","12.4 %","8.4 %",".093",".268",".255",".348",".347",".319","96","54.0","","30.0","1014308"
"Lefty O'Doul","- - -","970","3659","1140","113","624","542","36","9.1 %","3.3 %",".183",".339",".349",".413",".532",".428","142","-15.0","","30.0","1009734"
"Chris Chambliss","- - -","2158","8314","2109","185","912","972","40","7.6 %","11.1 %",".136",".295",".279",".334",".415",".334","108","31.0","","29.9","1002119"
"Terry Pendleton","- - -","1891","7637","1897","140","851","946","127","6.4 %","12.8 %",".121",".294",".270",".316",".391",".312","91","101.0","","29.9","1010157"
"Mike Lowell","- - -","1598","6500","1619","223","771","952","30","8.4 %","12.6 %",".185",".287",".279",".342",".464",".346","108","8.4","-28.7","29.9","527"
"Dave Henderson","- - -","1489","5677","1324","197","710","708","50","8.2 %","19.5 %",".178",".291",".258",".320",".436",".334","108","33.0","","29.9","1005630"
"Brian Roberts","Orioles","1233","5535","1374","84","775","477","274","9.9 %","13.3 %",".135",".314",".281",".353",".416",".343","108","20.2","11.6","29.8","166"
"Mike Scioscia","Dodgers","1414","5057","1131","68","398","446","29","11.2 %","6.1 %",".097",".263",".259",".344",".356",".313","98","38.0","","29.8","1011667"
"Randy Winn","- - -","1704","6878","1759","110","863","662","215","7.6 %","14.7 %",".132",".322",".284",".343",".416",".333","101","56.9","14.9","29.8","1235"
"Jose Cardenal","- - -","2008","7696","1913","138","936","775","329","7.9 %","10.5 %",".120",".292",".275",".333",".395",".333","105","-43.0","","29.7","1001937"
"Woodie Held","- - -","1390","4645","963","179","524","559","14","10.9 %","20.3 %",".182",".268",".240",".331",".421",".334","107","17.0","","29.7","1005609"
"Sam Mertes","- - -","1190","4999","1227","40","695","721","396","8.4 %","6.4 %",".119",".256",".279",".346",".398",".367","117","6.0","","29.7","1008794"
"Joe Start","- - -","1071","4911","1418","15","854","544","18","3.3 %","2.2 %",".069",".303",".299",".322",".367",".317","116","37.0","","29.6","1012436"
"Bob Bescher","- - -","1228","5277","1171","28","749","345","428","11.7 %","9.7 %",".093",".288",".258",".353",".351",".358","116","5.0","","29.6","1000921"
"Darin Erstad","- - -","1653","6628","1697","124","913","699","179","7.2 %","14.2 %",".125",".314",".282",".336",".407",".327","94","146.7","9.5","29.6","11"
"Lance Johnson","- - -","1426","5800","1565","34","767","486","327","6.1 %","6.6 %",".095",".307",".291",".334",".386",".324","98","82.0","","29.5","1006482"
"Earl Battey","- - -","1141","4104","969","104","393","449","13","10.3 %","11.5 %",".138",".284",".270",".349",".409",".337","106","12.0","","29.5","1000670"
"Tom Daly","- - -","1564","6483","1582","49","1024","811","385","10.6 %","10.7 %",".108",".302",".278",".361",".387",".363","109","-27.0","","29.5","1002957"
"George Stone","- - -","849","3668","986","23","428","268","133","7.7 %","",".095",".000",".301",".361",".396",".367","140","9.0","","29.5","1012564"
"Robby Thompson","Giants","1295","5235","1187","119","671","458","103","8.4 %","18.9 %",".146",".303",".257",".329",".403",".328","107","36.0","","29.5","1013023"
"Willie McGee","- - -","2172","8188","2254","79","1010","856","352","5.5 %","15.1 %",".101",".341",".295",".333",".396",".327","102","-6.0","","29.5","1008513"
"Tony Gonzalez","- - -","1559","5793","1485","103","690","615","79","8.1 %","12.2 %",".127",".312",".286",".350",".413",".339","113","-32.0","","29.5","1004845"
"Tommy Harper","- - -","1798","7164","1609","146","972","567","408","10.5 %","15.1 %",".122",".288",".257",".338",".379",".335","109","-28.0","","29.5","1005383"
"Johnny Bates","- - -","1154","4597","1087","25","565","417","187","10.9 %","7.7 %",".099",".314",".278",".367",".377",".366","121","-16.0","","29.4","1000662"
